Time	Type	Process
8.38110150831267	departure	<__main__.Process object at 0x0000014F51CFDA90>
8.381383815931432	arrival	<__main__.Process object at 0x0000014F51D0DAD0>
8.381383815931432	departure	<__main__.Process object at 0x0000014F51CFDA10>
8.415391914954762	swapping	<__main__.Process object at 0x0000014F51CFDA10>
8.415391914954762	arrival	<__main__.Process object at 0x0000014F51D0DBD0>
8.415391914954762	departure	<__main__.Process object at 0x0000014F51CFDA10>
8.484245345275136	arrival	<__main__.Process object at 0x0000014F51D0DC90>
8.484245345275136	departure	<__main__.Process object at 0x0000014F51CFDB50>
8.542832587986585	swapping	<__main__.Process object at 0x0000014F51CFDB50>
8.542832587986585	arrival	<__main__.Process object at 0x0000014F51D0DD90>
8.542832587986585	departure	<__main__.Process object at 0x0000014F51CFDBD0>
8.551205392858622	arrival	<__main__.Process object at 0x0000014F51D0DE50>
8.551205392858622	departure	<__main__.Process object at 0x0000014F51CFDB50>
8.587741998205114	swapping	<__main__.Process object at 0x0000014F51CFDB50>
8.587741998205114	arrival	<__main__.Process object at 0x0000014F51D0DF50>
8.587741998205114	departure	<__main__.Process object at 0x0000014F51CFDB50>
8.611996294709199	swapping	<__main__.Process object at 0x0000014F51CFDB50>
8.611996294709199	arrival	<__main__.Process object at 0x0000014F51D0E050>
8.611996294709199	departure	<__main__.Process object at 0x0000014F51CFDD10>
8.612164459613814	arrival	<__main__.Process object at 0x0000014F51D0E110>
8.612164459613814	departure	<__main__.Process object at 0x0000014F51CFDB50>
8.640453500585853	arrival	<__main__.Process object at 0x0000014F51D0E1D0>
8.640453500585853	departure	<__main__.Process object at 0x0000014F51CFDC90>
8.67097446351463	swapping	<__main__.Process object at 0x0000014F51CFDC90>
8.67097446351463	arrival	<__main__.Process object at 0x0000014F51D0E2D0>
8.67097446351463	departure	<__main__.Process object at 0x0000014F51CFDDD0>
8.713756773523185	arrival	<__main__.Process object at 0x0000014F51D0E390>
8.713756773523185	departure	<__main__.Process object at 0x0000014F51CFDC90>
8.920484646156654	arrival	<__main__.Process object at 0x0000014F51D0E450>
8.920484646156654	departure	<__main__.Process object at 0x0000014F51CFD510>
9.110984530550102	swapping	<__main__.Process object at 0x0000014F51CFD510>
9.110984530550102	arrival	<__main__.Process object at 0x0000014F51D0E550>
9.110984530550102	departure	<__main__.Process object at 0x0000014F51CFDE50>
9.12041747137332	arrival	<__main__.Process object at 0x0000014F51D0E610>
9.12041747137332	departure	<__main__.Process object at 0x0000014F51CFD510>
9.168460637339399	arrival	<__main__.Process object at 0x0000014F51D0E6D0>
9.275895572409404	arrival	<__main__.Process object at 0x0000014F51D0E750>
9.275895572409404	departure	<__main__.Process object at 0x0000014F51CFDF10>
9.341369862960537	arrival	<__main__.Process object at 0x0000014F51D0E810>
9.347838312996577	arrival	<__main__.Process object at 0x0000014F51D0E890>
9.347838312996577	departure	<__main__.Process object at 0x0000014F51CFDF90>
